wallet,policy_action,reputation_label,policy_reason
11111111111111111111111111111111,,,Known Solana system program example
EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,,,Public USDC mint example
So11111111111111111111111111111111111111112,,,Wrapped SOL mint example
TokenkegQfeZyiNwAJbNbGKPFXCWuBvf9Ss623VQ5DA,,,SPL Token program example
ATokenGPvbdGVxr1b2hvZbsiqW5xWH25efTNsLJA8knL,,,Associated Token Account program example
JUP6LkbZbjS1jKKwapdHNy74zcZ3tLUZoi5QNyVTaV4,,,Jupiter aggregator program example
Ch8kCo2FW4HXQMTm2wpbLeaVZJxXa4Rg8S4KVXUxcdVm,,demo_wallet,Public demo participant
DJt9LW4Mma6q5dgE7gXaVmHi8Msjcax1D4wQ78RCDfcw,,demo_wallet,Public demo participant
BqsU5BMmZ6DqbdS8k5BmepGjCSsGsuU941h8YQarf5Cg,,demo_wallet,Public demo participant
8ZhcRPSrTbCMvRzm14BY5Nm7E1N1aQjQ3VCFSMNDNdga,,demo_wallet,Public demo participant
8oHEf5HkTNH8fW9gGHxZ9xRhKHNXRrjvbMJPQXqpdwTu,,demo_wallet,Public demo participant
7JN5qwcEeE6qLhyJ7FwTb4hRVNtdqmjbHTLCZUSUJD42,manual_review,needs_review,Included to demonstrate gray-zone review
7WFQoMsXYgMnF3mrt8kGNq7pH1CLoj3SZiM8QqutsTJ9,reject,project_exclusion,Included to demonstrate policy reject
58BKgRDqkKfFgHZLqNh9XNidzmsAfqyrLnVdbjx29DLg,,demo_wallet,Public demo participant
FH79NAUazfpBMQVhPwnz5AMfXXrTCfusMRARoPKEYxw8,,demo_wallet,Public demo participant
77WZDUitjP3uNaEhPEmgweCYgL4mftJtwnmbs79qMNDf,,demo_wallet,Public demo participant
6MGcYrkfHQuy6aAibdEC9rWBBSxsna1gQCBzQKR24BeU,,demo_wallet,Public demo participant
GDTmAyiFNXMYs6HNPb5usQWKchtjMAXwXsgTaGMEC7jT,,demo_wallet,Public demo participant
bW9azxxuwYSpbeByvAc7z7LXa482iQCphPych3ASeSe,,demo_wallet,Public demo participant
5i1F1uQ5yhUgBsvWYLCgou9rJu8AHCN5iVorH8hNv1AM,,demo_wallet,Public demo participant
