wallet_address,chain,tx_count,wallet_age_days,funding_source,total_volume,contracts_count,campaign_actions_count
0xbe0eb53f46cd790cd13851d5eff43d12404d33e8,Ethereum,18294500,3000,0x0000000000000000000000000000000000000001,500000000,140,1
0x28c6c06298d514db089934071355e5743bf21d60,Ethereum,12988000,3000,0x0000000000000000000000000000000000000002,350000000,120,1
0x21a31ee1afc51d94c2efccaa2092ad1028285549,Ethereum,11002000,3000,0x0000000000000000000000000000000000000003,280000000,115,1
0x71660c4005ba85c37ccec55d0c4493e66fe775d3,Ethereum,9800000,3000,0x0000000000000000000000000000000000000004,220000000,100,1
0x267be1c1d684f78cb4f6a176c4911b741e4ffdc0,Ethereum,7200000,3000,0x0000000000000000000000000000000000000005,180000000,90,1
0x1111111111111111111111111111111111111111,Ethereum,32,365,0x0000000000000000000000000000000000001001,1200,12,2
0x2222222222222222222222222222222222222222,Ethereum,41,420,0x0000000000000000000000000000000000001002,2400,14,2
0x3333333333333333333333333333333333333333,Ethereum,25,240,0x0000000000000000000000000000000000001003,820,9,3
0x4444444444444444444444444444444444444444,Ethereum,19,180,0x0000000000000000000000000000000000001004,640,7,3
0x5555555555555555555555555555555555555555,Ethereum,52,520,0x0000000000000000000000000000000000001005,4800,18,1
0x6666666666666666666666666666666666666666,Ethereum,28,310,0x0000000000000000000000000000000000001006,1900,10,2
